ID,Paper,Order,Family,Superfam,Genus,genus.and.species,Collected.from,Host.Lat,Host.Long,N..treat.field.,mortality..treat.,N..control.,mortality..c.,or,ln.or,v.ln.or,Treatment,Temp,BdStrain,bd.ID,Lineage,Stated.location,Species.isolated.from,Bd.Lat,Bd.Long,distance,distkm,logdistkm,Bd.dose..spore.,logdose,duration
512a,Piovia-Scott et al 2015,Anura,Ranidae,Ranoidea,Rana,Rana_cascadae,Carter Meadow and Section Line,41.0079,-122.8035,56,0.95,58,0.16,81.9,4.602667056,0.504223922,Section Line Lake ,20,Section Line Lake ,50a,,Section Line Lake ,Rana cascadae,41.202,-122.845,21836.02338,21.83602338,1.358620479,110000,5.041392685,98
150a,Padgett-Flohr 2008,Caudata,Ambystomatidae,Salamandroidea,Ambystoma,Ambystoma_californiense," Joseph D. Grant County Park, Santa Clara, California",37.336819,-121.717272,10,0,10,0,1,0,4.19047619,high Bd,19.5,JEL270,29a,,"Marin County, California",Rana catesbeiana,38.0834,-122.7633,123989.5303,123.9895303,2.096873636,1000000,6,56
154a,Padgett-Flohr 2008,Caudata,Ambystomatidae,Salamandroidea,Ambystoma,Ambystoma_californiense," Joseph D. Grant County Park, Santa Clara, California",37.336819,-121.717272,10,0,10,0,1,0,4.19047619,low Bd,19.5,JEL270,29a,,"Marin County, California",Rana catesbeiana,38.0834,-122.7633,123989.5303,123.9895303,2.096873636,1000,3,56
320a,Gervasi et al 2013 EcoH,Anura,Ranidae,Ranoidea,Lithobates,Rana_catesbeiana,Fish hatchery pond (41.64ç N 80.43ç W) and Geneva pond (41.59ç N 80.25ç W),41.64,-80.43,16,0.5,15,0.33,1.9,0.690068168,0.550727351,JEL 630,23,JEL630,40a,,Oregon,Rana cascadae,45.5231,-122.6765,3399510.11,3399.51011,3.53154407,2550000,6.40654018,30
508a,Piovia-Scott et al 2015,Anura,Ranidae,Ranoidea,Rana,Rana_cascadae,Carter Meadow and Section Line,41.0079,-122.8035,57,0.32,58,0.16,2.4,0.904456274,0.208908427,Carter Meadow ,20,Carter Meadow ,11a,,Carter Meadow ,Rana cascadae,40.223,-121.409,146701.4057,146.7014057,2.169384629,110000,5.041392685,98
267a,Wise et al 2014,Anura,Bufonidae,Bufonoidea,Anaxyrus,Bufo_americanus,"Rush Run Wildlife Area (Preble County, Somerville, OH)",39.586,-84.6178,35,0.828571429,35,0.142857143,25.17,3.36729583,0.434482759,Bd,22,JEL213,23a,,"Sierra Nevada Mts, California",Rana muscosa,38.2713,-119.558,3014192.462,3014.192462,3.479315039,16800000,7.225309282,48
565a,Andre et al 2008,Anura,Ranidae,Ranoidea,Rana,Rana_muscosa,Kings Canyon National Park,36.887649,-118.555234,20,0.5,10,0,21,3.04,2.285714286,22 C,22,LJR089,45a,," Sequoia National Park,California",Rana muscosa,36.56472,-118.7733,40788.43126,40.78843126,1.621056068,10000000,7,46
567a,Andre et al 2008,Anura,Ranidae,Ranoidea,Rana,Rana_muscosa,Kings Canyon National Park,36.887649,-118.555234,20,0.95,10,0,273,5.61,2.813186813,17 C,17,LJR089,45a,," Sequoia National Park,California",Rana muscosa,36.56472,-118.7733,40788.43126,40.78843126,1.621056068,10000000,7,46
78a,Davidson et al 2003,Anura,Ranidae,Ranoidea,Rana,Rana_yavapaiensis,n Arizona State University pond facility,33.427446,-111.936358,4,0.75,3,0.33,3.93,1.806797347,2.840946781,R230 high dose R. yavapaiennsis,22,R230,48a,,"Montrose Canyon in southeastern Arizona, 125 km from Beattyês Guest Ranch",Rana yavapaiensis,32.42202,-110.90982,147144.6432,147.1446432,2.170685952,8500000,6.929418926,60
273a,Retallick et al 2006,Caudata,Ambystomatidae,Salamandroidea,Ambystoma,Ambystoma_tigrinum,Arizona,34.56,-111.44,10,0,50,0,4.81,1.57,4.115040075,A. tigrinum,21,JEL230,27a,,"Montrose Canyon in southeastern Arizona, 125 km from Beattyês Guest Ranch",Rana yavapaiensis,32.42202,-110.90982,242193.6489,242.1936489,2.385952229,500000,5.698970004,28
74a,Davidson et al 2003,Anura,Ranidae,Ranoidea,Rana,Rana_yavapaiensis,n Arizona State University pond facility,33.427446,-111.936358,3,0.33,3,0.33,1,0,3.015226896,A277 high dose R. yavapaiensis,22,A277,4a,,San Rafael Valley in southern Arizona,Ambystoma tigrinum ,31.38333,-110.58389,259938.909,259.938909,2.416538842,8500000,6.929418926,60
434a,Murphy et al 2009,Anura,Bufonidae,Bufonoidea,Anaxyrus,Bufo_boreas,"Blackrock pond, Wyoming",43.5260678,-108.4476064,18,1,18,0,1369,7.22,4.108108108,local isolate,20,local,46a,,"Blackrock, Wyoming",Bufo boreas,43.5260678,-108.4476064,0,0,0,1100000,6.041392685,36
465a,Murphy et al 2009,Anura,Bufonidae,Bufonoidea,Anaxyrus,Bufo_boreas,"Alamosa, Colorado",37.4694,-105.87,18,1,18,0.18,150.72,5.02,2.386632379,novel isolate,20,local,46a,,"Blackrock, Wyoming",Bufo boreas,43.5260678,-108.4476064,707060.5752,707.0605752,2.850070414,1100000,6.041392685,36
531a,Carey et al 2006,Anura,Bufonidae,Bufonoidea,Anaxyrus,Bufo_boreas, mountains of Colorado; mix of egg masses and tadpoles were collected,39.6904,-105.6413,15,0.06,15,0,3.08,1.13,2.82384294,1 spore,23,JEL275,31a,,"Clear Creek County, Colorado",Bufo boreas,39.6904,-105.6413,0,0,0,1,0.1,42
536a,Carey et al 2006,Anura,Bufonidae,Bufonoidea,Anaxyrus,Bufo_boreas, mountains of Colorado; mix of egg masses and tadpoles were collected,39.6904,-105.6413,10,0.4,10,0,14.52,2.68,2.471391487,40 spore,23,JEL275,31a,,"Clear Creek County, Colorado",Bufo boreas,39.6904,-105.6413,0,0,0,40,1.602059991,42
541a,Carey et al 2006,Anura,Bufonidae,Bufonoidea,Anaxyrus,Bufo_boreas, mountains of Colorado; mix of egg masses and tadpoles were collected,39.6904,-105.6413,10,0.50085,10,0,21.07,3.05,2.458875327,20 spore,23,JEL275,31a,,"Clear Creek County, Colorado",Bufo boreas,39.6904,-105.6413,0,0,0,20,1.301029996,42
542a,Carey et al 2006,Anura,Bufonidae,Bufonoidea,Anaxyrus,Bufo_boreas, mountains of Colorado; mix of egg masses and tadpoles were collected,39.6904,-105.6413,10,0.60034,10,0,30.37,3.41,2.471394068,60 spore,23,JEL275,31a,,"Clear Creek County, Colorado",Bufo boreas,39.6904,-105.6413,0,0,0,60,1.77815125,42
543a,Carey et al 2006,Anura,Bufonidae,Bufonoidea,Anaxyrus,Bufo_boreas, mountains of Colorado; mix of egg masses and tadpoles were collected,39.6904,-105.6413,10,0.7,10,0,44.97,3.81,2.514183612,100 spore,23,JEL275,31a,,"Clear Creek County, Colorado",Bufo boreas,39.6904,-105.6413,0,0,0,100,2,42
545a,Carey et al 2006,Anura,Bufonidae,Bufonoidea,Anaxyrus,Bufo_boreas, mountains of Colorado; mix of egg masses and tadpoles were collected,39.6904,-105.6413,15,0.73,15,0,77.05,4.34,2.370003582,100 spore,23,JEL275,31a,,"Clear Creek County, Colorado",Bufo boreas,39.6904,-105.6413,0,0,0,100,2,42
546a,Carey et al 2006,Anura,Bufonidae,Bufonoidea,Anaxyrus,Bufo_boreas, mountains of Colorado; mix of egg masses and tadpoles were collected,39.6904,-105.6413,15,0.8618,15,0,161.77,5.09,2.527644309,1 spore,23,JEL275,31a,,"Clear Creek County, Colorado",Bufo boreas,39.6904,-105.6413,0,0,0,1,0.1,42
550a,Carey et al 2006,Anura,Bufonidae,Bufonoidea,Anaxyrus,Bufo_boreas, mountains of Colorado; mix of egg masses and tadpoles were collected,39.6904,-105.6413,15,1,15,0,961,6.87,4.129032258,100 spore,23,JEL275,31a,,"Clear Creek County, Colorado",Bufo boreas,39.6904,-105.6413,0,0,0,100,2,42
551a,Carey et al 2006,Anura,Bufonidae,Bufonoidea,Anaxyrus,Bufo_boreas, mountains of Colorado; mix of egg masses and tadpoles were collected,39.6904,-105.6413,10,1,10,0,441,6.09,4.19047619,1000 spore,23,JEL275,31a,,"Clear Creek County, Colorado",Bufo boreas,39.6904,-105.6413,0,0,0,1000,3,42
552a,Carey et al 2006,Anura,Bufonidae,Bufonoidea,Anaxyrus,Bufo_boreas, mountains of Colorado; mix of egg masses and tadpoles were collected,39.6904,-105.6413,15,1,15,0,961,6.87,4.129032258,10000 spore,23,JEL275,31a,,"Clear Creek County, Colorado",Bufo boreas,39.6904,-105.6413,0,0,0,10000,4,42
553a,Carey et al 2006,Anura,Bufonidae,Bufonoidea,Anaxyrus,Bufo_boreas, mountains of Colorado; mix of egg masses and tadpoles were collected,39.6904,-105.6413,15,1,15,0,961,6.87,4.129032258,10000 spore,23,JEL275,31a,,"Clear Creek County, Colorado",Bufo boreas,39.6904,-105.6413,0,0,0,10000,4,42
556a,Carey et al 2006,Anura,Bufonidae,Bufonoidea,Anaxyrus,Bufo_boreas, mountains of Colorado; mix of egg masses and tadpoles were collected,39.6904,-105.6413,15,1,15,0,961,6.87,4.129032258,1000000 spore,23,JEL275,31a,,"Clear Creek County, Colorado",Bufo boreas,39.6904,-105.6413,0,0,0,1000000,6,42
557a,Carey et al 2006,Anura,Bufonidae,Bufonoidea,Anaxyrus,Bufo_boreas, mountains of Colorado; mix of egg masses and tadpoles were collected,39.6904,-105.6413,15,1,15,0,961,6.87,4.129032258,1000000 spore,23,JEL275,31a,,"Clear Creek County, Colorado",Bufo boreas,39.6904,-105.6413,0,0,0,1000000,6,42
516a,Gervasi et al 2013 Plos,Anura,Bufonidae,Bufonoidea,Anaxyrus,Bufo_boreas,"Deschutes County, OR",43.8325,-121.2617,30,0.23,30,0,19.46,2.97,2.20868938,intermediate,15,JEL274,30a,GPL,Colorado,Anaxyrus boreas,39.6904,-105.6413,1375451.287,1375.451287,3.138760846,50000,4.698970004,14
517a,Gervasi et al 2013 Plos,Anura,Bufonidae,Bufonoidea,Anaxyrus,Bufo_boreas,"Deschutes County, OR",43.8325,-121.2617,30,0.27,30,0,23.05,3.14,2.194866525,low,15,JEL274,30a,GPL,Colorado,Anaxyrus boreas,39.6904,-105.6413,1375451.287,1375.451287,3.138760846,10000,4,14
518a,Gervasi et al 2013 Plos,Anura,Bufonidae,Bufonoidea,Anaxyrus,Bufo_boreas,"Deschutes County, OR",43.8325,-121.2617,30,0.62,30,0,97.51,4.58,2.169047567,high,15,JEL274,30a,GPL,Colorado,Anaxyrus boreas,39.6904,-105.6413,1375451.287,1375.451287,3.138760846,100000,5,14
70a,Searle et al 2011,Anura,Bufonidae,Bufonoidea,Anaxyrus,Bufo_terrestris,"Orange County, Florida",28.487432,-81.118324,25,1,25,0.52,47.13,3.85,2.193301434,Bd only,22.4,JEL274,30a,GPL,Colorado,Anaxyrus boreas,39.6904,-105.6413,2569540.771,2569.540771,3.410024497,260000,5.414973348,30
332a,Cothran et al 2015,Anura,Hylidae,Hyloidea,Hyla,Hyla_versicolor,"41.5694, -80.4564",41.5694,-80.4564,22,0.181818182,22,0.090909091,1.99,0.798507696,0.855555556,high carotenoid diet,21,JEL274,30a,GPL,Colorado,Anaxyrus boreas,39.6904,-105.6413,2133317.328,2133.317328,3.32925899,100000,5,14
330a,Cothran et al 2015,Anura,Hylidae,Hyloidea,Hyla,Hyla_versicolor,"41.5694, -80.4564",41.5694,-80.4564,28,0.071428571,27,0.037037037,1.67,0.693147181,1.576923077,Bd+,21,JEL274,30a,GPL,Colorado,Anaxyrus boreas,39.6904,-105.6413,2133317.328,2133.317328,3.32925899,100000,5,14
